frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose,used_sam
0,1,837,124,1519,1078,1190.0,649.0,1189.9941217177598,648.976398177318,0.0,0,1
1,1,835,121,1519,1078,1189.0,648.0,1189.238241081602,648.243375349608,0.0,0,1
2,1,835,119,1520,1078,1188.0,647.0,1188.1859708661684,647.1945209582103,0.0,0,1
3,1,838,119,1519,1079,1187.0,645.0,1187.1256175088006,645.4697000850636,0.0,0,1
4,1,839,116,1519,1079,1184.0,645.0,1184.9178166673294,644.7029723774183,0.0,0,1
5,1,837,112,1518,1078,1183.0,644.0,1183.2754230288867,643.8350040034591,0.0,0,1
6,1,836,111,1518,1079,1183.0,644.0,1182.3844533441697,643.3798705599684,0.0,0,1
7,1,839,110,1517,1079,1182.0,642.0,1181.4742999743119,642.2959654595611,0.0,0,1
8,1,839,107,1518,1079,1180.0,640.0,1180.1582556180213,640.8399635528713,0.0,0,1
9,1,839,105,1516,1079,1179.0,639.0,1178.9518903349312,639.5164194709558,0.0,0,1
10,1,841,103,1513,1080,1177.0,637.0,1177.4699830536972,637.9335895041287,0.0,0,1
11,1,841,101,1510,1080,1178.0,634.0,1176.8016624719085,635.8306860377425,0.0,0,1
12,1,841,101,1509,1080,1178.0,634.0,1176.4105185429003,634.3266353194304,0.0,0,1
13,1,841,98,1504,1080,1176.0,633.0,1175.5844202009903,632.9676436451382,0.0,0,1
14,1,840,95,1499,1079,1172.0,631.0,1173.7741575447276,631.4071301332527,0.0,0,1
15,1,840,91,1496,1079,1173.0,627.0,1172.7504424758602,629.0563315272533,0.0,0,1
16,1,841,85,1492,1079,1176.0,622.0,1173.002100688186,625.7589380241212,0.0,0,1
17,1,843,77,1490,1079,1173.0,621.0,1172.4085186364591,622.9646047119596,0.0,0,1
18,1,843,73,1489,1080,1173.0,621.0,1172.034715642067,620.9299294601869,0.0,0,1
19,1,841,72,1489,1079,1169.0,621.0,1170.5839787023594,619.5351213838632,0.0,0,1
20,1,846,69,1490,1078,1171.0,617.0,1170.119085551517,617.411723800785,0.0,0,1
21,1,852,65,1492,1078,1172.0,615.0,1170.1633232446177,615.3028559784859,0.0,0,1
22,1,857,63,1504,1078,1175.0,613.0,1171.2382696064722,613.2103332458134,0.0,0,1
23,1,864,62,1510,1078,1175.0,613.0,1172.1967579875006,611.759322471471,0.0,0,1
24,1,867,61,1512,1079,1175.0,613.0,1173.0192252636525,610.8339465327989,0.0,0,1
25,1,872,62,1514,1078,1177.0,614.0,1174.3249599059443,610.6362446763701,0.0,0,1
26,1,877,64,1520,1077,1180.0,614.0,1176.3157550189917,610.6962832943419,0.0,0,1
27,1,881,65,1526,1077,1183.0,611.0,1178.8363909454417,609.9930798395554,0.0,0,1
28,1,888,66,1526,1075,1189.0,607.0,1182.6862084288011,608.3189452424106,0.0,0,1
29,1,899,66,1530,1073,1193.0,605.0,1186.950782131486,606.4662024541731,0.0,0,1
30,1,900,66,1531,1076,1193.0,604.0,1190.2360932271447,604.7943215281356,0.0,0,1
31,1,906,65,1522,1075,1196.0,603.0,1193.5933611903897,603.2859641887272,0.0,0,1
32,1,910,62,1520,1074,1198.0,602.0,1196.667040632935,601.919685816411,0.0,0,1
33,1,917,58,1521,1073,1202.0,596.0,1200.107654025952,599.1111432266337,0.0,0,1
34,1,922,54,1532,1073,1206.0,595.0,1203.83322121956,596.6860371716904,0.0,0,1
35,1,928,50,1544,1074,1210.0,589.0,1207.7707562599987,593.0463685704583,0.0,0,1
36,1,928,51,1551,1079,1210.0,589.0,1210.6086606311364,590.3074212283608,0.0,0,1
37,1,933,50,1551,1077,1213.0,585.0,1213.4617102609147,587.0985013568558,0.0,0,1
38,1,936,49,1546,1077,1214.0,584.0,1215.709214675984,584.4570491780381,0.0,0,1
39,1,939,51,1549,1077,1214.0,582.0,1217.155299220158,581.9892628387696,0.0,0,1
40,1,941,54,1541,1076,1214.0,580.0,1217.9659434920218,579.6681743447778,0.0,0,1
41,1,943,54,1541,1077,1214.0,579.0,1218.2923296965398,577.7789500108291,0.0,0,1
42,1,943,54,1542,1080,1214.0,579.0,1218.2666526895848,576.5508187092856,0.0,0,1
43,1,944,57,1534,1078,1212.0,578.0,1217.3758204384628,575.5366556692447,0.0,0,1
44,1,944,63,1538,1077,1212.0,581.0,1216.449873668031,575.9195210095942,0.0,0,1
45,1,945,70,1535,1078,1209.0,578.0,1214.6169522469288,575.5421214810923,0.0,0,1
46,1,945,82,1531,1078,1206.0,576.0,1212.0922560002134,574.8012835000612,0.0,0,1
47,1,943,91,1525,1079,1203.0,580.0,1209.0641006327373,575.6106877112618,0.0,0,1
48,1,942,91,1524,1080,1203.0,580.0,1206.6281246163203,576.423142565818,0.0,0,1
49,1,937,96,1522,1080,1200.0,578.0,1203.804588201979,576.5658235772958,0.0,0,1
50,1,929,106,1520,1079,1197.0,577.0,1200.7042280087965,576.4352684030071,0.0,0,1
51,1,920,118,1519,1079,1191.0,578.0,1196.4825479016638,576.6906538069723,0.0,0,1
52,1,910,134,1521,1078,1188.0,585.0,1192.3228444869862,579.1284320915205,0.0,0,1
