frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose,used_sam
0,1,862,349,1348,1080,1111.0,650.0,1110.997258142234,650.0324131218797,0.0,0,1
1,1,865,351,1341,1080,1104.0,667.0,1105.6565618425186,662.9694605629644,0.0,0,1
2,1,871,354,1331,1080,1105.0,633.0,1104.218224849192,643.0357193943076,0.0,0,1
3,1,875,355,1329,1079,1105.0,633.0,1103.9142440860076,634.0228448331426,0.0,0,1
4,1,879,356,1330,1080,1098.0,643.0,1099.8117916243389,636.0160984041725,0.0,0,1
5,1,875,359,1329,1080,1092.0,649.0,1094.6047541229082,640.5516643989752,0.0,0,1
6,1,866,360,1325,1080,1083.0,665.0,1087.4982770056422,650.8575197176574,0.0,0,1
7,1,860,364,1320,1080,1082.0,649.0,1082.7869868435364,650.6145693994034,0.0,0,1
8,1,861,366,1314,1079,1073.0,675.0,1076.3588012412617,660.6080109277859,0.0,0,1
9,1,864,366,1314,1078,1072.0,681.0,1071.7873789956031,669.7381532141472,0.0,0,1
10,1,860,366,1304,1079,1067.0,678.0,1067.0753377277401,675.1181192032676,0.0,0,1
11,1,861,364,1301,1078,1064.0,660.0,1062.9360099290184,672.7625876300918,0.0,0,1
12,1,862,361,1300,1078,1055.0,659.0,1057.2579415843486,670.2279462611854,0.0,0,1
13,1,863,354,1295,1078,1048.0,673.0,1051.0396817536375,672.4254316913986,0.0,0,1
14,1,861,348,1291,1078,1043.0,670.0,1045.0451734321678,673.0056128708153,0.0,0,1
15,1,862,348,1291,1078,1043.0,669.0,1040.8244613239244,672.9224968574239,0.0,0,1
16,1,854,341,1291,1078,1043.0,623.0,1038.0496848202806,658.2246619160647,0.0,0,1
17,1,850,345,1289,1078,1036.0,640.0,1034.2371089782898,651.4221802513451,0.0,0,1
18,1,845,350,1286,1078,1035.0,621.0,1031.4057142812628,640.1458509889094,0.0,0,1
19,1,841,351,1282,1078,1028.0,644.0,1027.4808777006258,638.4659928371677,0.0,0,1
20,1,834,349,1281,1078,1021.0,642.0,1022.6254464523406,637.0088497485799,0.0,0,1
21,1,832,350,1281,1079,1021.0,643.0,1019.1922933930477,636.6107411536584,0.0,0,1
22,1,825,349,1282,1078,1017.0,654.0,1015.6875031903044,640.1468270106064,0.0,0,1
23,1,819,353,1283,1078,1022.0,694.0,1014.9164626059455,655.883499903093,0.0,0,1
