frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose,used_sam
0,1,793,5,1917,1078,1627.0,399.0,1626.864234683946,399.0714411317708,0.0,0,1
1,1,793,5,1917,1078,1623.0,398.0,1559.6161008034958,432.070383013393,0.0,0,1
2,1,793,5,1917,1079,1616.0,442.0,1548.6586450593152,467.83831541719417,0.0,0,1
3,1,794,5,1916,1080,1608.0,391.0,1523.0639766794422,441.9664958307623,0.0,0,1
4,1,791,4,1919,1078,1645.0,362.0,1623.4012186775515,377.78407912777897,0.0,0,1
5,1,787,4,1917,1078,1624.0,447.0,1493.306497730487,492.6097003661163,0.0,0,1
6,1,784,4,1916,1079,1567.0,469.0,1548.5564963433544,474.3107906063016,0.0,0,1
7,1,782,4,1915,1079,1563.0,478.0,1579.4560371249825,467.3715507933236,0.0,0,1
8,1,786,5,1913,1080,1456.0,642.0,1555.5211406826145,527.9952927317337,0.0,0,1
9,1,791,5,1913,1080,1516.0,445.0,1558.2903842547953,498.5816453370283,0.0,0,1
10,1,791,4,1914,1080,1520.0,404.0,1559.6369790538402,462.76653095801123,0.0,0,1
11,1,793,5,1914,1080,1526.0,413.0,1560.7189561890916,439.31980674413006,0.0,0,1
12,1,797,4,1914,1080,1579.0,484.0,1577.0971054303134,445.4965747260412,0.0,0,1
13,1,798,2,1915,1080,1584.0,502.0,1589.9201815502192,457.44387419782515,0.0,0,1
14,1,799,5,1914,1080,1529.0,484.0,1580.9212435270913,462.27791715108225,0.0,0,1
15,1,804,9,1913,1080,1574.0,409.0,1586.0512396059487,443.1842692950389,0.0,0,1
16,1,804,11,1912,1080,1574.0,419.0,1588.8923311563117,431.2790199995666,0.0,0,1
17,1,808,13,1916,1080,1530.0,536.0,1576.2258151841604,458.99481315580624,0.0,0,1
18,1,811,21,1917,1080,1395.0,683.0,1522.6457829674653,528.4531464202906,0.0,0,1
19,1,812,23,1917,1077,1369.0,654.0,1470.2561400436662,576.138613752293,0.0,0,1
20,1,812,30,1917,1078,1363.0,641.0,1426.4561482927736,609.403136902394,0.0,0,1
21,1,817,46,1917,1077,1359.0,657.0,1391.388970460759,639.1170797402524,0.0,0,1
22,1,822,63,1916,1079,1328.0,660.0,1355.7027564253492,661.5275681414053,0.0,0,1
23,1,822,66,1916,1076,1316.0,654.0,1325.80126886649,674.9725095167715,0.0,0,1
24,1,818,56,1914,1070,1344.0,681.0,1313.4173125662967,691.4295445536493,0.0,0,1
25,1,822,52,1916,1075,1353.0,673.0,1309.4954749703702,699.6389568363451,0.0,0,1
26,1,822,53,1916,1076,1340.0,666.0,1305.2728816092115,701.5456313154122,0.0,0,1
27,1,820,41,1916,1078,1350.0,646.0,1307.515516079555,694.5394856305624,0.0,0,1
28,1,817,31,1914,1078,1347.0,652.0,1310.5960086552031,688.7672736855449,0.0,0,1
29,1,810,18,1912,1078,1382.0,693.0,1325.7655134234485,695.4592438606678,0.0,0,1
30,1,799,13,1903,1078,1350.0,643.0,1329.4816487093076,684.3043654516736,0.0,0,1
31,1,795,10,1902,1079,1352.0,646.0,1333.857476705718,675.1628520936048,0.0,0,1
32,1,789,9,1899,1078,1288.0,620.0,1317.9390606304885,659.0576219009092,0.0,0,1
33,1,786,6,1896,1079,1268.0,636.0,1299.001432569572,650.701640735116,0.0,0,1
34,1,783,5,1894,1072,1289.0,631.0,1290.728215188898,642.5368580637097,0.0,0,1
35,1,783,4,1892,1074,1277.0,638.0,1281.1905481062483,638.4351405016478,0.0,0,1
36,1,783,2,1894,1078,1274.0,622.0,1273.450136259062,630.5926763554213,0.0,0,1
37,1,785,1,1896,1080,1281.0,618.0,1270.3446471573093,623.4493113061684,0.0,0,1
38,1,790,4,1892,1080,1256.0,615.0,1261.0232891336577,617.282192202531,0.0,0,1
39,1,794,6,1884,1080,1276.0,640.0,1260.565147605721,620.7143954647694,0.0,0,1
40,1,801,9,1870,1080,1266.0,630.0,1258.0269436014635,621.0761391059973,0.0,0,1
41,1,808,12,1858,1080,1274.0,640.0,1259.2440724272192,624.9676060475698,0.0,0,1
42,1,821,20,1853,1080,1271.0,647.0,1260.0042853209773,630.7057971076224,0.0,0,1
43,1,825,22,1851,1080,1271.0,645.0,1261.167911999061,634.9772236386215,0.0,0,1
44,1,836,38,1845,1080,1274.0,662.0,1263.4779553496166,643.8074024767108,0.0,0,1
45,1,846,53,1844,1080,1278.0,657.0,1266.9289036738246,649.3791529281627,0.0,0,1
46,1,853,67,1841,1079,1279.0,651.0,1270.259706167351,651.7816050704567,0.0,0,1
47,1,856,77,1848,1080,1292.0,669.0,1277.1191932237082,659.0090314897732,0.0,0,1
48,1,862,92,1846,1080,1307.0,651.0,1287.387866523347,658.941133346186,0.0,0,1
49,1,864,94,1850,1080,1306.0,644.0,1295.2807005445306,656.2458149275622,0.0,0,1
50,1,864,109,1827,1080,1302.0,657.0,1300.0845438526555,657.7378980508099,0.0,0,1
51,1,865,124,1811,1080,1281.0,595.0,1296.9424512606881,639.360804613699,0.0,0,1
52,1,868,143,1803,1080,1285.0,647.0,1295.101481756157,640.3745878958213,0.0,0,1
53,1,880,157,1776,1080,1268.0,628.0,1287.9382344494982,635.5249350764927,0.0,0,1
54,1,890,180,1763,1079,1287.0,683.0,1287.782833506085,648.925530577554,0.0,0,1
55,1,892,191,1758,1075,1287.0,683.0,1287.6303370179562,660.1273934606373,0.0,0,1
56,1,895,213,1732,1073,1255.0,636.0,1277.4963365764472,654.4879703730428,0.0,0,1
57,1,899,230,1703,1077,1269.0,669.0,1273.5874463943703,659.8367484027266,0.0,0,1
58,1,906,258,1680,1078,1257.0,663.0,1266.8846652206987,662.175741712594,0.0,0,1
59,1,907,276,1646,1077,1238.0,656.0,1255.7658771597787,661.6465564716333,0.0,0,1
60,1,907,291,1644,1077,1222.0,665.0,1242.087525125914,663.7639092931907,0.0,0,1
61,1,906,296,1642,1077,1222.0,665.0,1231.5097590692615,665.2921289435336,0.0,0,1
62,1,894,310,1578,1077,1188.0,641.0,1213.0639135845513,658.8318275998937,0.0,0,1
63,1,886,331,1488,1076,1151.0,625.0,1187.3636523869006,648.3534498382292,0.0,0,1
64,1,877,349,1458,1076,1129.0,617.0,1160.6996693868812,637.2880010287838,0.0,0,1
65,1,860,357,1395,1075,1110.0,600.0,1134.581488895482,623.1870878598479,0.0,0,1
66,1,830,359,1370,1075,1071.0,703.0,1103.0082625440396,644.3010770681086,0.0,0,1
67,1,820,359,1363,1076,1074.0,676.0,1080.3655926836304,653.8117001991309,0.0,0,1
68,1,801,347,1377,1076,1130.0,619.0,1081.9090821133464,643.8466466216105,0.0,0,1
69,1,786,328,1402,1078,1116.0,698.0,1081.4015342060804,660.214017162689,0.0,0,1
70,1,779,306,1426,1078,1103.0,748.0,1079.009369547775,689.2856473645286,0.0,0,1
71,1,772,288,1469,1072,1115.0,717.0,1082.5094407606393,703.0208921128761,0.0,0,1
72,1,762,261,1497,1070,1135.0,666.0,1093.0552751717396,697.3564345624956,0.0,0,1
73,1,761,254,1512,1078,1140.0,653.0,1104.3137782402803,687.5739983678268,0.0,0,1
74,1,762,241,1556,1074,1150.0,654.0,1117.25899294661,679.1436315928576,0.0,0,1
75,1,761,219,1601,1074,1148.0,693.0,1127.4454384286319,684.058671247297,0.0,0,1
76,1,752,199,1645,1075,1139.0,663.0,1132.8385464793103,678.5921418269984,0.0,0,1
77,1,728,166,1710,1080,1257.0,794.0,1173.7535961998806,714.8302760646619,0.0,0,1
78,1,695,143,1767,1080,1247.0,821.0,1203.62117411852,752.7974837075845,0.0,0,1
79,1,683,134,1789,1080,1292.0,785.0,1240.7420327889336,771.6421871235212,0.0,0,1
80,1,628,108,1866,1080,1463.0,668.0,1322.6554516026147,748.8461890770902,0.0,0,1
81,1,619,61,1910,1080,1452.0,777.0,1383.7344202254305,762.4935988077858,0.0,0,1
82,1,531,39,1920,1080,1306.0,549.0,1384.128796317563,701.5290640404563,0.0,0,1
83,1,506,31,1920,1080,1372.0,568.0,1400.456194397211,656.6454532696781,0.0,0,1
84,1,445,63,1880,1080,1343.0,580.0,1400.9712136462178,624.3584282525205,0.0,0,1
85,1,439,45,1906,1080,1413.0,573.0,1419.8053594336952,597.3824970484256,0.0,0,1
86,1,435,48,1907,1080,1454.0,535.0,1445.1644647504588,565.5432218945488,0.0,0,1
87,1,430,107,1910,1080,1287.0,633.0,1206.7828337129004,605.9313195611306,0.0,0,1
88,1,430,187,1920,1079,1365.0,629.0,1260.8628998227066,614.7122830828608,0.0,0,1
89,1,438,275,1920,1078,1525.0,775.0,1354.0865740097527,667.1742054184671,0.0,0,1
90,1,453,343,1916,1064,1576.0,808.0,1444.085755994929,719.8426958978657,0.0,0,1
91,1,459,364,1892,1071,1592.0,844.0,1305.7450671222928,757.4911908453847,0.0,0,1
92,1,499,413,1740,1080,937.0,753.0,1207.2820903431589,761.1302565859877,0.0,0,1
93,1,515,465,1669,1080,912.0,738.0,1116.007525801505,758.4752388410132,0.0,0,1
94,1,544,485,1558,1047,919.0,713.0,1043.5313916979017,747.6494886952073,0.0,0,1
95,1,596,502,1465,1012,939.0,693.0,992.674707449156,731.9396910892793,0.0,0,1
96,1,660,515,1392,978,942.0,689.0,955.5074129352922,717.6171222414681,0.0,0,1
97,1,680,522,1372,979,942.0,689.0,929.1588826380035,706.0992225128989,0.0,0,1
98,1,728,517,1329,945,956.0,681.0,916.1580156704222,694.6833341957341,0.0,0,1
99,1,785,512,1327,921,969.0,665.0,913.5981159606107,681.0385744029692,0.0,0,1
100,1,832,507,1290,891,980.0,655.0,918.5011284426342,667.5972512610216,0.0,0,1
101,1,853,502,1252,862,986.0,645.0,927.3306730761662,654.4963900194726,0.0,0,1
102,1,869,501,1198,835,987.0,634.0,937.1344337693862,641.4981248093671,0.0,0,1
103,1,859,503,1173,829,987.0,633.0,946.7828787163976,631.8094935644691,0.0,0,1
104,1,863,497,1162,813,987.0,622.0,955.7622224054873,621.7807509334635,0.0,0,1
105,1,870,496,1140,792,983.0,611.0,962.5090598994221,611.4614986274111,0.0,0,1
106,1,867,495,1117,772,977.0,602.0,966.4696980555691,601.5273040047591,0.0,0,1
107,1,864,493,1083,746,967.0,593.0,966.6846343828207,591.9123704128732,0.0,0,1
108,1,861,494,1061,728,958.0,587.0,964.0404736014683,583.4896277739671,0.0,0,1
